#,Team,GP,MPG,PPG,FGM,FGA,FG%,3PM,3PA,3P%,FTM,FTA,FT%,ORB,DRB,RPG,APG,SPG,BPG,TOV,PF
60,NC State,38,40.6,76.5,27.4,60.8,.451,7.1,20.3,.347,14.6,19.9,.736,9.3,24.0,33.3,13.1,7.3,3.6,9.3,16.3
61,Florida A&M,29,40.6,67.2,25.1,57.9,.433,5.9,17.1,.343,11.2,16.0,.700,8.6,23.4,32.0,14.3,6.0,2.8,14.3,18.7
62,Fresno State,33,40.5,67.7,24.6,54.4,.453,6.9,20.9,.332,11.5,16.8,.685,6.8,22.0,28.8,12.5,6.2,2.5,11.8,15.8
63,La Salle,33,40.5,72.7,26.6,61.8,.430,8.5,24.6,.346,11.0,15.2,.723,8.0,22.5,30.5,14.7,6.3,3.3,9.2,16.7
64,Howard,35,40.5,74.9,24.8,55.2,.449,8.0,21.6,.371,17.3,23.1,.751,9.4,23.1,32.5,13.9,6.1,2.8,14.3,18.9
65,Southern Illinois,32,40.5,72.7,24.7,54.6,.453,8.3,23.8,.347,15.0,19.7,.762,7.1,23.3,30.4,14.3,5.5,3.1,10.5,18.1
66,Utah State,35,40.5,79.7,28.5,58.2,.491,6.5,19.4,.333,16.1,22.4,.720,7.9,24.6,32.5,16.3,6.8,4.2,10.7,17.0
67,TCU,34,40.5,79.0,28.4,61.4,.461,6.6,18.6,.354,15.7,21.5,.731,11.1,23.2,34.4,16.9,9.0,3.8,12.2,17.4
68,Seton Hall,34,40.5,72.8,26.2,58.6,.448,6.0,18.2,.330,14.4,18.5,.777,10.9,23.9,34.8,12.6,7.4,4.7,11.9,15.3
69,Stanford,32,40.5,76.3,27.6,58.9,.468,8.9,24.2,.370,12.3,16.9,.728,6.8,25.5,32.3,16.1,5.5,3.1,12.3,15.3
70,UAB,35,40.5,77.5,26.8,59.6,.449,6.1,18.8,.327,17.8,23.8,.746,11.0,24.0,35.0,13.5,6.7,4.5,11.4,15.9
71,UNLV,33,40.5,73.7,26.6,57.5,.463,6.8,20.1,.340,13.7,18.8,.725,8.9,22.9,31.8,13.2,6.2,4.6,10.3,16.0
72,Tulane,31,40.5,81.9,27.6,58.0,.476,7.5,21.1,.357,19.2,26.2,.732,5.7,24.8,30.5,14.2,7.8,4.4,10.9,17.1
73,Maryland-Eastern Shore,29,40.5,65.2,23.0,57.4,.401,5.8,19.7,.295,13.3,18.6,.715,9.3,22.5,31.9,10.8,7.0,2.8,13.0,17.5
74,North Florida,32,40.5,78.0,26.5,59.9,.443,12.0,33.2,.360,13.0,16.9,.766,7.9,23.6,31.4,12.4,5.6,3.6,10.8,16.2
75,Texas-San Antonio,32,40.5,77.6,26.2,63.8,.410,9.7,28.8,.337,15.6,21.9,.710,11.1,26.0,37.1,13.9,5.0,4.2,10.6,17.9
76,Georgia Tech,32,40.5,71.0,25.3,60.1,.421,7.9,24.4,.326,12.4,17.5,.709,10.1,25.0,35.1,13.3,4.4,4.0,11.7,16.5
77,Western Carolina,32,40.5,76.8,28.2,61.3,.460,8.2,22.3,.366,12.3,17.3,.712,9.3,27.5,36.8,11.5,4.4,3.2,9.7,16.8
78,Wright State,32,40.5,86.5,32.3,60.9,.530,6.8,17.8,.383,15.1,19.9,.757,7.8,23.5,31.3,16.5,6.3,2.8,11.7,15.6
79,USC Upstate,30,40.5,71.0,26.0,58.4,.445,7.7,23.0,.333,11.3,17.7,.642,7.3,21.4,28.7,12.5,7.2,3.2,11.1,19.6
80,Manhattan,30,40.5,66.2,24.7,59.7,.413,7.3,23.2,.315,9.5,13.2,.722,8.0,22.7,30.7,14.4,7.5,2.9,12.5,13.9
81,Georgia Southern,33,40.5,73.3,25.7,59.7,.430,9.4,26.6,.352,12.6,17.3,.732,8.7,22.1,30.8,10.7,6.9,4.0,12.8,20.1
82,Maryland,33,40.5,69.0,23.2,56.2,.413,6.1,21.1,.289,16.5,22.9,.720,10.3,22.5,32.8,10.9,6.6,4.5,11.3,17.5
83,Radford,33,40.5,72.0,26.4,57.8,.457,7.2,19.8,.363,12.0,16.3,.739,8.7,22.6,31.4,11.1,5.5,3.5,10.1,17.0
84,Missouri State,33,40.5,71.2,25.7,58.5,.439,6.8,21.5,.314,13.1,18.4,.711,9.0,27.3,36.3,12.1,4.3,4.5,11.7,15.3
85,UC San Diego,33,40.5,76.7,26.8,58.6,.457,8.9,24.8,.358,14.2,18.9,.752,8.1,23.5,31.6,13.0,6.2,2.8,9.2,16.1
86,USC,33,40.5,74.1,26.4,58.5,.451,7.6,21.5,.355,13.6,19.7,.693,8.6,22.6,31.2,15.6,7.5,5.2,12.1,17.0
87,Eastern Michigan,31,40.5,66.0,25.3,58.9,.429,5.7,18.9,.304,9.8,14.6,.667,8.9,22.4,31.3,10.4,5.8,2.5,11.1,16.4
88,Hawaii,34,40.4,72.3,24.8,54.1,.458,7.8,22.8,.341,14.9,20.8,.718,7.0,24.2,31.1,12.2,4.6,2.6,11.6,17.5
89,Bethune-Cookman,34,40.4,72.9,25.3,58.6,.431,5.9,18.2,.321,16.5,21.8,.755,9.0,21.8,30.8,12.2,10.3,3.4,13.4,20.5
90,Cal Poly,32,40.4,63.7,22.5,55.6,.404,6.2,18.7,.331,12.5,17.8,.705,7.1,20.6,27.7,9.8,5.4,3.7,12.2,19.2
91,Niagara,32,40.4,72.5,25.7,54.7,.470,6.2,17.2,.362,14.9,19.8,.752,6.5,22.3,28.8,12.8,5.6,2.2,10.9,15.0
92,Army West Point,32,40.4,60.3,22.1,54.6,.405,7.9,24.6,.320,8.3,14.0,.588,8.0,22.8,30.8,12.5,5.8,3.9,11.2,15.8
93,Loyola (MD),32,40.4,64.0,23.0,55.2,.417,7.2,21.4,.336,10.8,16.8,.644,8.5,22.6,31.1,12.8,5.9,2.2,12.8,16.2
94,Rider,32,40.4,72.2,26.1,60.0,.435,5.7,16.9,.337,14.2,19.0,.748,10.1,25.0,35.1,13.3,6.6,3.9,12.0,17.5
95,Cal State Bakersfield,32,40.4,68.7,25.2,58.2,.434,4.7,14.9,.315,13.6,18.8,.723,10.2,21.4,31.6,10.5,6.9,3.6,11.4,20.4
96,Bucknell,33,40.4,65.2,23.0,53.6,.428,8.2,24.1,.338,11.2,15.6,.716,7.0,22.5,29.5,12.1,6.1,3.4,11.4,16.9
97,St. Bonaventure,33,40.4,73.5,25.8,56.7,.456,7.6,20.8,.365,14.2,18.3,.774,8.5,22.2,30.7,12.5,6.6,3.9,10.3,16.8
98,Wagner,33,40.4,63.7,23.0,58.0,.396,7.2,22.0,.327,10.6,15.0,.704,9.8,22.9,32.7,12.8,5.9,2.3,8.9,15.4
99,Chattanooga,33,40.4,78.2,27.0,58.0,.466,10.6,29.4,.359,13.6,18.2,.745,8.0,26.2,34.2,13.5,6.3,3.7,11.2,15.9
100,Gardner-Webb,33,40.4,73.5,26.3,60.4,.435,7.5,21.9,.345,13.4,21.3,.631,9.7,25.3,35.0,12.7,5.8,2.4,11.2,19.2
101,Ball State,31,40.4,73.5,24.8,55.7,.446,7.5,20.7,.362,16.5,21.5,.767,7.9,23.8,31.6,12.4,5.5,3.1,11.5,15.1
102,Cincinnati,36,40.4,74.6,27.6,62.5,.441,7.5,23.0,.326,11.9,17.3,.689,11.9,25.3,37.1,14.7,6.6,4.4,11.5,14.9
103,Abilene Christian,34,40.4,72.1,25.3,58.4,.433,5.3,15.6,.340,16.2,22.3,.727,8.2,22.4,30.6,12.7,7.7,2.1,12.4,19.6
104,Oklahoma State,32,40.4,71.0,24.8,56.2,.441,8.1,24.3,.334,13.3,19.1,.697,8.0,23.1,31.2,13.4,6.3,2.9,12.6,16.0
105,New Mexico State,32,40.4,67.7,24.1,56.9,.423,6.4,19.6,.329,13.1,19.3,.677,8.1,24.1,32.2,11.2,6.1,3.1,11.5,19.9
106,Western Michigan,32,40.4,71.3,25.9,59.8,.433,7.9,23.3,.339,11.6,18.6,.625,10.8,23.7,34.5,13.1,5.3,2.7,12.7,17.2
107,Purdue,35,40.4,83.9,28.8,58.7,.490,8.4,20.6,.409,17.9,24.9,.721,11.4,27.4,38.8,18.8,5.6,3.9,11.0,14.0
108,Ohio,33,40.4,77.3,27.3,60.2,.453,8.9,25.1,.356,13.8,18.9,.730,8.8,23.3,32.1,14.1,7.1,3.6,9.5,17.0
109,Houston,36,40.4,74.1,26.7,60.7,.440,7.9,22.6,.349,12.9,18.6,.691,12.4,22.4,34.8,13.2,9.9,4.8,8.4,17.9
110,Grambling State,36,40.4,67.7,23.9,54.3,.440,5.1,15.2,.338,14.8,20.8,.708,8.5,21.2,29.7,9.8,7.4,3.2,12.4,16.0
111,James Madison,36,40.4,83.2,29.8,62.6,.476,8.5,23.7,.360,15.1,21.4,.703,9.9,25.9,35.8,16.0,9.0,3.1,10.6,17.3
112,Northern Illinois,31,40.4,73.2,25.8,58.1,.444,7.3,22.5,.326,14.3,21.2,.672,9.0,24.0,33.0,10.2,5.3,4.9,12.4,17.4
113,UNC Asheville,34,40.4,78.9,26.6,57.4,.465,8.1,22.3,.365,17.4,23.5,.742,8.2,23.9,32.1,15.7,6.0,4.3,11.4,17.1
114,Harvard,27,40.4,70.4,24.6,56.1,.439,7.4,22.1,.336,13.7,19.5,.702,8.0,24.1,32.1,13.0,6.2,4.3,11.5,14.8
115,Boston University,33,40.4,66.5,23.3,56.2,.414,7.7,23.1,.333,12.2,17.0,.717,7.9,24.9,32.8,12.9,6.5,3.1,11.1,17.3
116,Wisconsin,36,40.4,74.7,26.4,57.4,.461,7.1,20.4,.349,14.7,19.4,.755,8.8,22.4,31.2,12.7,6.2,1.6,9.6,16.5
117,Tulsa,31,40.4,75.0,25.1,57.3,.439,7.7,23.6,.327,17.0,23.1,.736,7.4,25.0,32.5,12.6,7.8,3.4,12.5,17.5
118,Colorado,37,40.4,79.3,28.4,57.3,.495,6.9,17.5,.391,15.8,20.1,.784,8.4,25.8,34.2,16.2,6.0,2.2,12.1,14.8
119,Coppin State,29,40.3,57.9,20.2,54.2,.372,5.3,18.6,.283,12.2,16.9,.726,8.2,18.9,27.2,8.3,7.7,2.8,15.0,17.7
120,Long Island,29,40.3,66.5,24.3,58.3,.418,5.4,17.4,.310,12.4,18.3,.677,8.1,24.3,32.4,12.5,6.4,3.0,13.9,19.2
121,Drexel,32,40.3,73.3,26.9,58.9,.457,6.8,19.6,.344,12.8,17.7,.722,10.3,26.3,36.6,12.7,5.0,4.0,10.3,15.3
122,Michigan,32,40.3,72.9,25.9,58.4,.444,8.0,22.2,.359,13.2,18.7,.703,9.4,22.9,32.3,12.5,4.2,3.6,12.6,17.2
123,Campbell,32,40.3,71.0,25.2,54.4,.463,7.3,21.0,.345,13.4,18.4,.725,6.3,23.0,29.3,13.3,6.3,2.4,11.6,15.2
124,Mount St. Mary's,32,40.3,72.7,27.4,57.9,.473,6.8,19.2,.353,11.2,15.4,.725,8.5,24.0,32.5,13.2,6.9,3.9,13.9,15.5
125,Providence,35,40.3,72.4,25.5,57.5,.443,8.3,25.5,.325,13.2,18.3,.722,8.0,25.7,33.7,13.6,6.4,4.6,11.5,15.8
126,Binghamton,30,40.3,72.1,26.7,57.9,.461,5.5,17.9,.306,13.2,19.8,.667,9.2,27.0,36.2,14.5,5.0,3.8,11.9,16.6
127,Oregon,36,40.3,75.6,27.3,59.6,.458,7.3,21.6,.338,13.7,19.1,.719,8.6,23.4,32.0,13.8,7.2,3.6,9.7,16.4
128,Arkansas,33,40.3,77.8,26.0,57.5,.453,6.0,18.9,.318,19.7,26.0,.756,7.3,24.2,31.5,11.7,6.0,6.1,11.2,19.8
129,Texas-RGV,31,40.3,70.4,24.3,58.1,.419,5.2,17.6,.293,16.5,23.5,.705,7.8,22.0,29.8,12.9,8.1,3.0,13.6,18.2
130,Bellarmine,31,40.3,69.5,25.7,59.3,.434,7.7,22.5,.341,10.4,13.3,.779,6.4,22.5,29.0,13.5,5.3,1.9,9.1,15.7
131,North Carolina Central,31,40.3,76.6,26.5,58.5,.454,7.5,22.0,.342,16.0,23.0,.695,9.9,23.1,33.0,12.8,7.6,2.7,11.5,17.8
132,Utah Tech,31,40.3,70.8,24.9,55.6,.447,6.5,19.2,.337,14.5,22.5,.645,8.4,23.3,31.7,12.9,6.6,4.3,15.5,20.9
133,UC Santa Barbara,31,40.3,75.4,26.6,54.3,.490,6.0,16.7,.360,16.1,21.8,.736,7.2,25.0,32.2,13.5,4.9,3.2,12.6,16.5
134,Coastal Carolina,31,40.3,73.5,26.9,60.6,.444,6.5,20.2,.321,13.2,19.9,.664,10.0,27.5,37.5,12.7,5.7,3.1,13.2,16.0
135,Bradley,35,40.3,74.1,26.9,57.1,.472,8.7,23.9,.366,11.4,15.7,.727,8.3,23.9,32.2,13.2,7.1,4.1,11.5,16.5
136,Toledo,32,40.3,80.0,28.8,60.2,.478,6.5,17.2,.376,16.0,21.3,.754,8.6,22.9,31.5,13.4,7.3,2.0,10.3,15.6
137,Wyoming,32,40.3,72.8,24.7,54.8,.451,7.5,20.3,.372,15.9,21.4,.741,7.8,23.4,31.2,11.7,5.2,2.5,12.3,15.6
138,Green Bay,32,40.3,69.0,24.4,54.4,.448,8.9,26.3,.339,11.4,15.8,.722,7.4,22.8,30.2,12.9,4.4,2.2,11.2,17.3
139,Tennessee-Martin,32,40.3,81.5,28.4,63.9,.444,8.7,24.3,.358,16.1,20.8,.771,8.8,29.5,38.3,13.0,6.2,2.8,11.2,14.2
140,Detroit-Mercy,32,40.3,66.0,23.8,56.4,.421,5.8,20.8,.281,12.6,17.1,.735,7.8,19.4,27.3,10.8,6.9,2.4,12.4,17.3
141,Youngstown State,32,40.3,81.2,29.1,64.5,.451,8.8,27.3,.323,14.2,18.4,.771,11.0,26.0,37.0,15.3,6.2,4.9,10.5,16.3
142,Weber State,32,40.3,75.4,26.3,56.2,.469,7.8,22.5,.348,14.9,19.9,.749,6.9,23.4,30.3,12.2,6.9,1.7,9.7,15.5
143,Utah Valley,32,40.3,68.7,25.0,57.8,.433,4.8,16.9,.285,13.8,20.5,.676,9.0,24.7,33.7,14.9,6.9,4.5,11.9,18.1
144,Portland State,32,40.3,71.9,25.3,60.9,.415,7.4,22.8,.325,14.0,20.4,.686,10.1,23.6,33.6,11.8,7.1,3.3,10.9,18.1
145,Maine,32,40.3,67.6,25.0,57.2,.437,5.4,18.3,.295,12.2,16.9,.719,6.7,23.2,29.9,12.4,8.4,3.3,10.9,16.3
146,California Baptist,33,40.3,67.3,23.1,56.3,.410,6.7,20.4,.326,14.5,21.2,.683,10.2,24.2,34.4,11.3,4.0,2.6,11.1,15.9
147,Omaha,33,40.3,74.0,25.6,56.8,.451,6.2,19.1,.326,16.5,22.2,.743,7.7,23.9,31.6,10.2,6.1,2.2,9.5,16.7
148,Merrimack College,33,40.3,69.2,24.1,55.0,.438,7.3,23.6,.309,13.7,18.8,.729,6.7,22.0,28.7,12.4,9.8,3.7,12.4,16.1
149,Saint Mary's,34,40.3,74.0,27.5,59.0,.466,7.6,21.6,.352,11.4,16.8,.676,11.5,25.1,36.6,16.2,6.6,3.8,9.5,16.4
150,Towson,34,40.3,67.5,24.1,56.9,.423,6.4,19.4,.328,13.1,19.8,.661,12.7,23.7,36.4,11.2,6.2,4.2,11.5,16.6
151,Oral Roberts,31,40.3,73.4,26.2,59.5,.440,9.2,25.5,.361,11.8,15.9,.742,6.6,24.0,30.6,11.0,5.6,3.4,9.4,17.2
152,Incarnate Word,31,40.3,72.3,24.8,57.9,.428,7.6,23.0,.331,15.1,20.8,.727,9.5,24.4,33.9,12.2,6.0,4.1,15.2,19.0
153,Morgan State,31,40.3,72.7,27.1,60.1,.451,4.8,16.3,.293,13.7,18.1,.758,9.5,23.2,32.8,12.5,6.2,3.6,14.2,19.2
154,Air Force,31,40.3,66.2,23.5,51.7,.453,8.8,24.4,.361,10.5,15.3,.682,6.6,19.8,26.4,14.5,6.5,3.9,11.0,17.5
155,Utah,35,40.3,78.6,29.1,62.3,.468,9.0,24.9,.361,11.3,17.3,.655,9.0,27.9,36.9,17.5,5.9,4.3,11.3,15.9
156,Louisiana Tech,32,40.3,74.8,25.7,56.3,.457,7.2,19.8,.362,16.2,23.1,.701,10.4,25.4,35.8,12.6,7.5,5.0,11.8,15.6
157,Old Dominion,32,40.3,70.9,26.3,62.5,.420,6.9,21.7,.318,11.4,17.2,.662,8.6,23.6,32.2,10.3,7.8,3.8,10.5,18.2
158,Fairleigh Dickinson,32,40.3,75.9,26.3,62.9,.419,8.4,25.4,.330,14.9,21.3,.700,9.9,24.9,34.9,15.1,8.2,2.5,12.4,17.8
159,Southeastern Louisiana,32,40.3,69.0,23.9,55.3,.432,7.3,21.2,.347,13.9,19.2,.728,9.2,22.8,32.0,14.5,6.9,2.3,13.3,16.3
160,Canisius,32,40.3,70.4,26.3,59.7,.440,7.3,21.6,.336,10.6,16.9,.625,10.7,23.7,34.3,12.5,6.0,3.5,12.6,16.3
161,Georgetown,32,40.3,70.8,24.2,58.3,.415,8.3,23.9,.346,14.1,19.8,.714,10.5,20.5,31.0,12.2,5.7,3.1,11.5,16.7
162,Liberty,32,40.3,73.8,27.0,57.8,.467,10.1,27.5,.368,9.8,14.8,.661,7.5,24.1,31.6,15.9,5.2,2.3,10.0,15.0
163,UNC Greensboro,32,40.3,75.7,27.0,58.7,.461,10.1,25.4,.397,11.6,15.8,.730,9.0,23.7,32.6,14.8,7.0,2.5,10.3,17.2
164,Long Beach State,36,40.3,77.4,27.6,62.2,.444,5.4,17.7,.305,16.8,23.8,.709,11.1,25.0,36.1,15.3,7.9,4.2,12.3,17.2
165,UC Davis,33,40.3,71.2,24.2,54.8,.442,7.0,20.7,.336,15.8,21.2,.748,8.2,21.5,29.7,12.5,7.8,3.5,12.9,19.2
166,Little Rock,34,40.3,77.3,28.1,59.5,.473,6.4,18.5,.345,14.6,19.5,.748,9.5,24.2,33.7,14.8,6.0,4.7,11.6,17.5
167,Nebraska,34,40.3,77.7,26.8,59.3,.452,9.4,26.3,.357,14.7,19.4,.760,8.4,26.6,35.0,15.3,6.3,2.6,10.8,15.9
168,Kennesaw State,31,40.3,82.8,29.3,65.6,.446,9.4,28.6,.329,14.8,22.0,.674,10.5,25.2,35.7,14.8,7.4,4.1,11.9,20.1
169,Georgia State,31,40.3,76.5,27.6,63.5,.435,7.5,23.2,.326,13.7,18.1,.757,8.9,24.8,33.7,11.8,5.8,2.9,9.3,17.5
170,Tennessee Tech ,31,40.3,67.4,24.5,54.6,.448,6.5,19.6,.332,12.0,16.8,.711,5.4,23.3,28.6,12.2,5.0,2.9,11.6,13.6
171,Navy,31,40.3,66.5,23.1,58.4,.396,5.8,19.5,.300,14.4,20.4,.708,10.1,22.1,32.2,12.1,6.7,2.0,9.7,18.0
172,Fort Wayne,35,40.3,80.5,29.2,61.9,.471,9.4,25.9,.362,12.8,18.3,.702,7.3,23.1,30.3,13.5,9.3,3.1,10.0,17.1
173,Washington State,35,40.3,73.5,27.1,58.5,.463,6.4,18.8,.339,13.0,18.5,.704,10.0,25.6,35.6,12.4,5.2,4.9,10.4,16.6
174,American University,32,40.3,68.7,24.4,54.4,.449,8.7,24.8,.351,11.1,15.4,.722,7.9,22.0,29.9,14.0,5.8,1.7,10.0,16.5
175,Pacific,32,40.3,64.7,22.7,55.1,.411,6.3,20.1,.316,13.1,20.3,.643,5.7,20.1,25.8,13.2,6.1,2.0,11.4,17.2
176,Southern,32,40.3,71.1,25.2,57.2,.441,6.9,21.4,.323,13.8,20.4,.674,8.9,21.3,30.2,13.8,9.1,3.3,13.5,19.7
177,Rice,32,40.3,72.0,26.0,58.8,.443,7.8,23.3,.337,12.1,17.4,.695,9.0,23.9,32.9,14.4,5.6,3.7,11.1,14.5
178,Montana,36,40.3,76.9,28.0,57.6,.485,7.7,21.5,.358,13.3,16.7,.792,7.2,24.4,31.6,14.9,4.8,3.0,9.9,16.7
179,Colorado State,36,40.3,75.2,27.2,56.2,.484,7.3,21.7,.338,13.4,17.8,.752,6.8,24.3,31.0,18.0,6.3,3.1,10.1,17.0
180,Cleveland State,36,40.3,75.5,27.9,62.4,.447,6.4,19.4,.333,13.2,19.8,.668,11.3,21.3,32.5,13.3,8.3,3.9,9.9,18.3
181,Northern Arizona,33,40.2,68.6,25.0,57.1,.438,6.3,20.1,.312,12.4,17.8,.696,7.0,21.5,28.5,13.5,5.7,3.1,12.4,18.3
182,Presbyterian,33,40.2,74.8,27.2,57.6,.472,6.4,19.1,.334,14.1,21.2,.663,7.9,22.0,29.9,12.9,7.0,3.2,11.0,18.5
183,Northern Iowa,33,40.2,73.2,25.5,56.0,.456,7.2,20.9,.345,14.9,21.1,.707,6.9,24.3,31.2,12.5,6.2,2.6,9.7,16.6
184,Bryant,33,40.2,78.7,28.9,63.2,.457,8.3,24.4,.339,12.6,18.9,.669,7.3,28.2,35.5,14.8,7.0,6.5,11.7,16.9
185,Western Illinois,33,40.2,68.8,25.0,58.7,.427,5.9,18.5,.319,12.9,20.9,.615,12.9,26.0,38.9,12.8,5.2,5.6,12.3,14.2
186,Notre Dame,33,40.2,64.0,22.5,55.3,.407,7.6,23.9,.318,11.5,15.4,.744,8.4,24.7,33.1,10.2,5.7,2.4,11.4,15.1
187,Sam Houston State,33,40.2,72.2,25.1,59.0,.425,7.4,21.1,.352,14.5,20.1,.724,10.3,24.4,34.7,12.9,6.8,2.3,12.7,18.1
188,Kentucky,33,40.2,89.0,32.0,64.6,.495,9.9,24.2,.409,15.2,19.7,.772,8.5,26.1,34.5,17.5,7.5,6.3,10.5,17.5
189,Alabama,34,40.2,90.7,30.9,64.6,.477,11.0,30.1,.367,18.0,23.2,.776,11.4,25.4,36.8,16.0,7.3,4.2,11.9,20.1
190,UC Irvine,34,40.2,77.6,28.4,59.9,.475,5.8,16.6,.349,14.9,19.9,.753,9.4,26.1,35.5,15.6,6.4,3.3,10.8,18.4
191,South Dakota State,35,40.2,76.4,27.9,58.0,.482,8.6,23.5,.365,12.0,16.9,.710,7.2,25.3,32.5,12.9,6.1,3.2,11.0,14.3
192,Evansville,35,40.2,70.9,26.1,58.4,.448,6.8,20.1,.336,11.8,16.5,.718,6.7,24.5,31.2,12.9,6.5,3.1,11.2,15.3
193,Texas State,35,40.2,69.9,25.2,56.8,.444,4.5,13.9,.326,14.9,21.3,.696,9.5,23.0,32.5,11.8,7.4,3.4,12.8,17.6
194,Charlotte,31,40.2,68.7,24.1,53.4,.452,6.5,20.5,.317,14.0,18.6,.753,7.2,22.8,30.1,13.1,5.4,3.4,9.2,15.5
195,Central Connecticut State,31,40.2,72.2,26.1,58.0,.451,6.7,20.8,.322,13.2,18.6,.709,8.6,24.9,33.5,14.3,7.5,4.8,10.6,13.6
196,Illinois,36,40.2,84.6,29.5,62.0,.476,8.4,23.8,.353,17.1,23.0,.744,11.3,26.6,37.9,13.4,4.3,3.8,10.2,15.1
197,UMass Lowell,32,40.2,80.0,28.5,60.1,.475,5.8,17.7,.329,17.2,23.3,.736,9.9,27.7,37.6,12.7,6.9,4.9,12.9,15.0
198,South Carolina State,32,40.2,70.2,24.5,59.8,.410,6.3,19.4,.323,14.9,21.6,.689,13.0,21.5,34.5,13.6,8.3,3.5,14.6,20.8
199,Boise State,33,40.2,75.1,26.0,58.0,.449,7.8,23.0,.340,15.3,20.8,.736,10.2,24.1,34.4,12.2,5.7,2.4,10.7,16.7
200,UTEP,34,40.2,72.6,25.3,56.5,.447,5.7,17.9,.319,16.4,23.8,.690,9.1,21.2,30.4,12.9,11.4,2.9,14.1,19.9
201,Ohio State,36,40.2,75.5,26.6,59.1,.450,7.1,20.5,.345,15.3,19.9,.767,9.7,25.0,34.6,14.1,5.6,4.6,10.3,17.0
202,Eastern Kentucky,31,40.2,80.8,29.6,64.3,.460,7.8,21.9,.358,13.8,20.3,.680,11.7,25.2,36.9,14.6,6.3,6.1,10.8,16.2
203,Oklahoma,32,40.2,75.4,26.1,56.2,.465,7.5,21.6,.345,15.7,21.2,.743,8.6,24.2,32.8,13.3,5.9,3.3,12.0,16.1
204,Penn State,33,40.2,75.1,25.9,59.1,.438,7.7,23.2,.334,15.6,20.9,.747,8.2,21.5,29.7,12.6,8.3,3.4,10.6,18.3
205,Louisiana-Monroe ,30,40.2,69.9,25.0,59.6,.420,5.1,17.1,.296,14.7,22.2,.665,11.3,23.3,34.5,12.7,7.3,2.2,11.8,18.0
206,Texas A&M,36,40.2,76.0,25.7,64.0,.402,7.1,24.1,.293,17.5,24.7,.707,15.4,24.1,39.6,11.4,6.9,3.0,9.4,17.0
207,Boston College,36,40.2,74.1,27.3,59.9,.456,8.3,22.9,.362,11.2,15.0,.750,8.2,24.4,32.5,14.1,5.9,3.4,10.3,15.7
208,Southern Utah,31,40.2,75.0,26.5,60.0,.441,6.3,20.9,.300,15.8,21.7,.728,9.1,21.5,30.5,12.1,6.5,3.0,11.7,17.7
209,Chicago State,32,40.2,69.5,24.1,56.8,.425,6.3,20.0,.314,15.0,21.1,.712,10.5,20.3,30.8,11.1,8.7,3.2,12.5,17.5
210,The Citadel,32,40.2,70.6,25.6,55.7,.460,6.2,18.8,.328,13.3,18.8,.706,7.9,23.2,31.1,11.2,5.6,2.6,11.3,14.0
