#,Team,GP,MPG,PPG,FGM,FGA,FG%,3PM,3PA,3P%,FTM,FTA,FT%,ORB,DRB,RPG,APG,SPG,BPG,TOV,PF
324,Prairie View A&M,31,40.0,70.2,24.8,59.1,.421,4.8,15.8,.305,15.7,21.8,.721,8.4,20.1,28.5,12.0,9.1,2.8,11.8,20.2
325,Loyola Marymount,31,40.0,72.4,25.9,57.8,.448,8.4,22.9,.368,12.2,16.7,.730,8.9,23.5,32.5,11.9,3.7,2.6,10.1,16.3
326,Marist,31,40.0,64.6,23.4,52.8,.443,6.8,19.2,.356,11.0,15.7,.697,6.2,23.5,29.7,12.3,6.8,2.8,11.5,16.2
327,Auburn,35,39.9,83.1,28.9,60.6,.476,8.0,22.7,.352,17.4,23.2,.750,10.1,24.9,35.0,17.8,7.3,6.1,10.4,19.4
328,Sacramento State,34,39.9,67.1,23.5,54.6,.430,7.6,22.9,.331,12.6,17.6,.716,10.2,23.0,33.2,13.1,5.2,2.7,13.9,17.0
329,South Carolina,34,39.9,72.1,25.4,57.9,.439,8.1,23.8,.339,13.1,18.4,.711,9.5,22.7,32.2,15.4,4.8,3.2,9.4,16.2
330,Pepperdine,33,39.9,72.8,26.3,58.3,.451,6.8,18.9,.361,13.4,19.1,.703,8.9,22.3,31.2,13.3,5.1,2.7,10.7,16.3
331,Marshall,33,39.9,73.8,26.2,64.2,.408,8.2,26.4,.310,13.2,18.6,.711,10.4,24.9,35.3,14.9,7.0,4.4,11.7,16.1
332,Elon,32,39.9,73.1,25.8,57.8,.446,8.6,24.4,.352,13.0,18.4,.707,8.8,22.1,30.9,13.1,6.3,2.7,11.3,15.7
333,Missouri,32,39.9,72.2,25.2,57.4,.439,7.3,22.8,.319,14.4,18.2,.792,7.7,20.5,28.3,12.2,7.7,4.8,10.9,20.1
334,DePaul,32,39.9,64.7,22.7,53.6,.423,6.3,18.7,.335,13.2,17.9,.733,5.6,20.9,26.5,12.3,5.3,3.1,12.7,15.1
335,Mississippi State,35,39.9,74.1,26.2,57.9,.452,7.2,22.3,.321,14.5,21.7,.670,10.9,24.3,35.2,14.0,8.1,3.1,12.4,16.6
336,Samford,35,39.9,86.1,30.1,61.5,.490,10.0,25.4,.395,15.8,21.9,.723,9.2,23.7,32.9,17.7,9.9,3.7,12.7,19.1
